symbol	CYFZ_PBMC	FY2H_PBMC	FLWA_PBMC	X453W_PBMC	X684C_PBMC	CZJE_PBMC	DZQV_PBMC	X925L_PBMC	X9JD4_PBMC	G4YW_PBMC	X4DUY_PBMC	X36TS_PBMC	CR3L_PBMC
SPARC	260.0174	439.9857	429.3117	166.80561	140.68425	251.2117	117.9915	387.2623	350.8124	170.01139	246.457	284.7906	299.7429
SPATA13	36.141045	25.846222	29.784613	34.872933	25.374195	37.271088	34.9346403	29.4864888	29.424954	33.384644	37.83985	28.925105	40.896678
SPATA2	4.37201	3.02472	4.22328	5.22311	3.38038	7.628096	4.44544	3.83459	4.23131	4.13482	4.17095	6.650425	4.9593
SPATA20	35.679192	39.079424	36.41262852	40.118216	34.37007295	29.37445717	32.68422627	37.218845	21.38411961	36.093892	38.98373692	5.694918	37.30955383
SPATA21	1.4673737	2.499157	1.0562423	1.196177	2.4867771	1.169259	0.836448792	2.233155	1.376277	1.183078	1.150293	1.063918	1.588471
SPATA24	1.526057	1.295517	0.125602	0.229358	0.770453	0.909573041	0.700522	1.983107	1.069181984	1.755645	2.394386	0.641509	4.38265
SPATA2L	14.794993	8.86114	12.325611	18.56461	12.104957	16.83471	11.745878	7.058408	8.730868	10.993666	9.147711	17.11656	14.43563
SPATA33	5.010075	3.540741166	3.241967	4.372278	3.61437	3.3495404	3.1471251	2.849653	5.6920888	3.371008	2.152201	2.00432604	3.4143
SPATA41	0	0.548736	0.0464487	1.07012	0.787027	0.287644	0.263377	0.301058	0.814758	0.969398	1.0147	0.7198	0.229045
SPATA5	3.52219	2.038963	5.83006	5.47008	3.93987	3.68341	6.69775	7.52995	7.1171	6.39703	4.480563	3.20715	9.4107
SPATA5L1	11.25037	10.572161	18.23245	8.15213	14.70966	6.686155	2.27981	14.933441	15.133141	24.503299	23.13337	3.0996023	35.134031
SPATA6	1.994141	5.028708	7.232734	5.187024	4.327592	6.163144	2.500556	4.179488	3.664875	3.552627	4.839845	3.693348	7.850918287
SPATA7	8.822925	5.897971	8.7177	12.50805912	11.68592298	9.027113237	3.6411695	9.472812	4.263894	7.146684007	4.914521	4.7585158	8.003709
SPATC1L	5.2066367	7.501301	9.70127	2.64164	10.134078	6.910711	6.873362	9.338498	10.560157	6.375834	9.05407	3.662453	6.77306
SPATS2	3.442857	3.577199	10.111417	6.13400934	8.096090519	5.6165915	4.032266903	9.124517	6.163391	5.053774	4.569408994	2.903991	8.334465337
SPATS2L	5.281472167	11.87246725	10.30974414	8.335361569	8.509840627	6.619109925	10.42601871	6.119530705	7.345329185	7.683550733	9.886458655	4.368120585	7.354756763
SPCS1	122.12123	98.912479	93.02551	94.54667	124.66518	117.3949	96.917149	114.53388	116.60938	133.76524	105.78179	97.94041	122.83302
SPCS2	205.52513	206.2506	224.62893	253.85479	247.985075	239.46352	180.829002	173.20772	162.04938	165.78544	190.506771	167.465389	145.69387
SPCS3	61.66622	63.94149	53.42221	81.08702	88.33166	62.38541	47.37911	48.85218	45.37756	49.529124	52.73734	55.05444	61.90498
SPDL1	17.229539	3.922123	6.388639549	9.749537	9.822032	5.036637	13.303176	7.258358	7.54264	8.921212	7.732091	5.255761	4.837918
SPDYA	1.348239	3.899109	2.507399	3.897123	1.5759214	4.343097	1.122472	1.351438	1.755269	2.347726	0.817918	1.83936	1.665423
SPECC1	18.921472	35.805939	30.677576	37.90247151	27.0760796	25.97024	22.027122	23.24243	19.164288	20.491587	21.143862	31.35784	43.85697811
SPECC1L	13.190173	4.71473551	7.494865	10.428546	12.4757	8.62288592	11.53036	10.955806	9.44635	9.521679	11.647242	6.175370855	9.047375131
SPEF2	9.166388	2.8557087	8.47263	12.10973519	6.943338	6.771252	6.9638215	10.8975163	7.834887004	9.7231598	8.556955	3.403667	10.524942
SPEG	0.1769468	0.0678728	0.034948	0.7738907	0.2555881	0.9559958	0.677206	0.641408	0.43541959	1.072473	0.717378	0.1715786	0.7088564
SPEN	15.76641	11.01138	29.76736155	32.93373	19.50668	17.30131	26.59559002	29.135447	24.6382795	22.2918622	20.677295	30.740449	23.060057
SPERT	0	0.136456	0	0	0	0	0	0	0	0.127217	0	0	0.366989
SPESP1	0	0	1.518638	0.724547	0	0.936684	0.335817	0.912102	0	2.09303	0	1.0343	0
SPG11	63.410857	81.03257103	58.864694	88.0334	76.013614	63.53033733	65.167474	69.986607	68.219787	82.573032	55.97721784	56.07612595	80.835126
SPG21	87.823443	99.09543429	130.87534	109.162239	89.894819	87.191606	97.794063	99.98309544	81.163138	121.467965	101.538028	102.708935	94.523756
SPHK1	6.535744001	8.509567	8.586470207	6.057632	5.697187	7.0552882	3.239023	3.570705	5.433594	5.826406	4.346341	7.078448	9.73878759
SPHK2	9.888491362	14.696326	8.251575	12.081764	14.44427	12.195914	9.99982	12.385628	11.278985	10.878226	10.890068	9.341191	9.090641
SPI1	29.09672	26.44702	31.01316	25.69932	29.00441	22.17924	28.451037	32.81605	32.52779	46.0859	36.451235	52.5977	35.78115
SPIB	28.2683731	17.18244	25.217525	26.499958	28.168682	40.273915	51.833949	53.44951	34.68072132	41.7947	32.0626	24.37333	32.37374858
SPICE1	8.279874	4.406955	5.49863	7.089279	9.99404	8.67882	7.630872288	17.88435017	10.727709	12.328904	12.346956	8.757718	13.12784
SPIDR	72.571608	62.49143487	84.551534	68.7287739	53.408549	62.959729	66.66578601	85.622849	65.34510101	69.640836	68.235917	48.8828936	64.628882
SPIN1	13.646856	9.46776661	11.087218	22.4914073	12.87585801	12.666722	12.75652	14.983303	11.964918	17.7839	16.42867	11.329276	13.926095
SPIN2B	12.98648	8.49103	16.68512	11.9898	17.50031	11.04238	8.139959	7.730561	12.5331354	10.770876	17.44218	9.95638	6.99703
SPIN3	12.18443952	5.449985402	11.62917207	11.5759487	10.8793428	7.750107768	11.31613966	8.729416616	9.333245764	9.215121036	11.59918385	5.03653554	8.344530793
SPIN4	4.82152	3.43026	3.70153	4.00043	3.89939	3.86222	1.81404	3.27908	1.83013	1.46305	3.95589	2.43193	2.70448
SPINK2	1.277799	0.407406	2.40561	2.040162	4.605048376	1.270476	0.371791	1.264263	1.479495935	1.51707	0.654874	1.16547	1.11774
SPINT1	13.908281	16.303234	13.099047	18.409432	13.83203952	17.9840657	15.442535	28.799577	20.987419	27.51444	27.921012	17.492601	14.907395
SPINT2	49.954799	89.46362	63.020838	62.76366	93.774367	101.636595	78.203889	90.993	95.973712	62.462879	68.63397369	89.090736	73.787612
SPIRE1	0	0.246061	1.094084556	0	0.29542	1.148532	0.652818	1.386794	2.1959303	2.63004607	1.4723588	1.02199	1.324551
SPIRE2	3.449991	3.151086	3.016086	2.934927	3.170443	1.892332	2.51259	3.0579745	2.6686914	1.905495	2.023608	2.1717834	2.075331
SPN	149.00157	76.15277	92.533304	96.281437	67.87947	107.30824	157.50757	179.941981	167.01344	199.667063	196.9349	181.73287	57.86811
SPNS1	23.946063	29.88553	62.595595	45.917138	32.007007	20.117218	33.801734	40.409342	50.947169	51.72917	42.63189	39.33316235	59.124003
SPNS3	2.638067496	9.149	7.035148	7.77891	4.723315	9.483732	4.188561	2.10521	6.171444	4.529149	6.190581581	5.270469	5.53663
SPOCD1	8.4911307	3.320889	6.669613	2.1578837	2.02504	7.449583	0.768842	4.692545	9.907866	1.8303644	3.244239005	1.106998	4.835339
SPOCK2	100.882902	64.559953	69.435106	80.022774	65.18099	96.202941	90.623283	80.71448	66.834987	59.75147	103.599928	79.08702	88.33195
SPON2	96.639829	82.265337	142.3755778	208.33732	91.22046835	118.853077	132.85553	73.576674	69.62709	107.187767	56.349929	76.664249	87.724252
SPOP	129.09944	96.588056	135.24267	141.288677	134.65112	104.931466	95.56856309	103.055495	106.239344	103.517546	108.637239	76.004449	87.58542195
SPOPL	13.49543	15.0152	12.572149	13.88466	9.083227	14.074094	11.731457	13.48426	6.81987	8.206967	9.38168	11.63581	14.075568
SPPL2A	148.955452	230.12368	197.277811	224.83057	169.45136	166.237678	136.78021	162.16848	148.53557	159.90916	169.50924	150.12275	154.73339
SPPL3	6.59897	9.888727	16.77477	4.937977	10.315754	11.286994	6.845241	12.626716	23.97384	11.175421	5.945603	8.76707	16.598826
SPR	3.81811	3.06192	5.043733	2.36005	4.01802	4.53454	1.4846	7.871611	2.9682	3.63313	4.04978	1.72263	3.55628
SPRED1	0.7660655	0.889954	0.852373	0.3371727	1.738529	0.58471	0.43593	2.091051	0.788092	1.038247	1.503894	0.990305	0.788347
SPRTN	15.154206	16.766305	28.4320465	21.478889	25.1699	33.951121	15.202332	10.505141	9.767915	7.637838	12.786341	20.552821	33.39743
SPRY1	0.865274	0	0.552898	0.65593	2.207816	1.995014	0	0.2541181	0.990681	0.766447	0.2075442	0.9159873	3.70603227
SPRYD3	44.173563	44.69931	51.58127	57.30475	57.61974	45.85125	31.230059	35.00592	39.047754	41.93958	47.35386	33.05051	39.27647
SPRYD4	1.83064	2.95338	2.16921	1.70692	1.75268	1.73623	1.42797	2.00849	1.87772	2.09297	2.53061	1.38827	1.10678
SPRYD7	5.134611	6.50919	6.477613	5.68686	5.68485	4.617370883	3.431692	5.527747	4.407756	5.86082	2.566899	3.384768	4.25486
SPSB1	0.6077412	0.0301454	0.325874	1.0819	0.749208	0.524431	0.168142	0.755689	2.660309	1.911845	2.423554	0.258178	0
SPSB2	10.30189	21.80325	29.92321	10.14115	6.928355	24.908121	26.50395	41.29074837	17.20312	26.770985	34.94477	7.18576	7.18025
SPSB3	75.75685	74.41929	95.04965	115.824655	96.74723	85.91889	81.901503	79.5726	90.63001	79.672586	90.563721	70.76357	71.795516
SPTAN1	71.958292	46.98397331	98.717264	77.83454595	89.58596531	53.25990334	82.49705168	60.79412148	60.2777882	72.631	67.101288	60.246255	81.730079
SPTBN1	25.55913	21.192648	29.096094	34.504561	34.517817	32.6988485	29.185253	30.334454	29.5542337	23.5096915	38.306542	19.097184	34.311857
SPTLC2	48.57825	77.290388	58.9557	82.36391	65.23275	80.93613	71.67715	77.87726	46.15659	61.08555	71.17217	81.61183	75.24518
SPTLC3	3.61074	3.5983404	2.9150949	3.2512158	3.84013	1.920098	2.2217382	4.091445	2.1886329	3.5067564	2.396435	3.1591901	3.4563126
SPTSSA	28.9766	36.8175	28.0359	21.2642	34.4492	36.3573	24.1695	26.769	22.5455	37.4125	30.9288	32.398	27.1591
SPTSSB	3.252135	0	8.60518	7.308622	3.364745	4.705943	1.215494	0.604935	2.841662	4.742024	2.011114	2.223769	2.675163
SPTY2D1	11.63107	10.7918	10.3383	12.7253	9.16772	18.2459	12.66232	9.104235	11.58192	11.81753	13.77308	16.89958	15.388111
SQLE	7.846043	20.528	7.26233	6.000954	12.051766	6.09096	6.536033	9.662265	10.131053	12.644053	11.465123	5.840549	3.996036
SQSTM1	201.689713	169.623549	192.482055	181.120775	163.584694	223.511753	212.85852	182.02677	196.085472	205.0209	223.441567	232.775682	160.319168
SRA1	31.789143	51.6791183	39.903994	42.33406378	39.12126	58.38197	30.284685	35.27269516	32.86553	43.00681	28.243388	49.27351	57.47195
SRBD1	15.85243802	18.11896	18.049802	10.341752	15.552142	22.566924	18.414071	13.116761	16.185352	19.029306	13.739755	14.602632	15.97178
SRC	27.01339	22.722835	14.6429	13.843404	9.92922	11.705176	23.881804	14.599264	20.95088783	16.926761	20.155183	21.535514	10.734954
SRCAP	16.152745	6.219666	12.644764	8.573657	7.288758	23.311748	19.78404	37.610102	26.296409	24.133124	28.213738	23.387987	16.892501
SRD5A1	14.08045	18.96152	22.64742	14.48015	14.51621	9.66001	23.9955	17.73745	11.677328	22.18147	17.77424	21.77718	17.46422
SRD5A3	16.81932	16.20044	9.49783	30.21061	11.6554	11.822026	6.75581	13.1779	10.86544	15.89581	9.07774	15.80012	7.53221
SREBF1	2.87551	7.8023566	6.8078557	8.1126394	12.258712	5.233356034	7.565365	5.097883	8.796761001	11.25405	5.861876001	8.937855	14.1565012
SREBF2	27.365319	34.855476	25.16759703	39.572074	26.48591594	16.9311101	26.150192	40.40377103	26.25155	24.698434	29.442718	30.06882	26.88781434
SREK1	36.358628	55.147138	40.065147	48.52630467	53.181341	76.026751	41.01705	47.798175	45.360206	45.53809	47.395223	63.828025	58.938784
SREK1IP1	7.704377	3.670826	12.292627	5.075043	5.520238	14.668507	3.94083	4.725881	6.563532	8.10547	3.027445	4.332404	5.58399
SRF	1.56523	1.5139	5.39046	0.83109	1.6136	2.08074	1.89774	1.37849	1.21389	2.86354	2.29504	3.15235	1.47031
SRFBP1	10.9923	8.13555	12.38544	7.118384	8.234292	7.407592	10.251206	8.87276	5.34194	7.36569	7.304924	4.57809	8.6686
SRGAP1	0.605661	0.9406	0.9165932	0.4395001	0.6031287	0.2216108	0.2394685	2.496335	0.2784729	0.4020002	0.703209	0.682213	0.4069909
