GeneSymbol	VB002_z1	VB002_z2	VB005_z1	VB010_z1	VB010_z2
A1BG	9.488814306956	14.1659057483325	9.488814306956	9.488814306956	9.488814306956
A2M	175.436125556639	195.021077661946	438.415522724193	528.208801873952	370.206856850028
A4GALT	58.2412579228722	71.2469340651119	16.4066127699206	11.9508246842193	27.3828906565613
AASDHPPT	27.3655851454243	27.5132645539577	29.5815550404506	21.301100462761	35.3512557650472
ABCA1	95.7939625159667	131.824370231179	42.5520138231467	38.1351858090317	39.2553796555711
ABCA10	1.55042519628552	1.63579503765471	1.84994613029003	2.17375282655407	1.58340111876548
ABCB9	5.71293942232597	3.24909796423939	4.5274834761162	6.5976722643154	7.02344306191655
ABCC3	5.29882860004568	7.09013657527288	14.9490208876568	37.2480700646446	38.2523086363577
ABCC5	14.0603636488658	16.2223397082764	31.769772290882	13.4853561510345	13.9852327835729
ABCD1	5.57624686844962	7.27664867493835	4.5546264085482	2.99611338733334	2.38024675875402
ABCE1	66.2684757685837	52.0519553216969	42.228000625812	63.7541716035845	45.5233479783475
ABCG1	9.81298690095913	4.4445976471617	5.49318791401704	13.0842035084341	7.27757168511731
ABHD11	7.59751932428527	3.76026078542204	17.1771299602066	27.4374694330409	21.1651730180237
ABHD12	82.0992965505995	75.7850947446331	121.321804153684	101.7014839121	91.2796078604791
ABHD17A	18.122383566298	11.9433006780835	22.0212020415409	24.9678968876392	29.4235592340458
ABHD17C	6.81987741092831	3.79276020732352	19.4524174553265	35.7058895224134	39.933227161088
ABHD2	10.7528049581682	14.4287072823277	31.6359441546945	21.5957875051551	21.3357997233896
ABHD5	12.2768284750421	12.3428507903976	13.3738296581473	25.7689181255733	30.5414057552669
ABI3	56.5096142002043	24.9311471094704	17.4600204754867	48.6998013951575	30.8909957882956
ABL2	104.523282432312	123.156736829389	51.6464244757838	67.8031905300609	94.4621333213421
ABLIM1	52.6096367546148	31.6020968626855	106.704127995101	58.8867415487145	27.9495983462611
ABLIM3	2.26000651437072	1.23989973907672	5.76358521391816	3.87709413401636	3.32128520463666
ABR	5.21913870119783	5.36895987344425	7.12133476769085	11.8283882102786	10.448973096312
ABRACL	152.890486280682	134.246228251175	227.046049409984	146.797857084409	94.4885713000664
ABTB1	5.71156173832242	5.72462365319051	6.52648660182426	5.41185146529901	4.9963786135788
AC004381.6	1.28806010241289	1.06898005822205	10.4143591749731	3.30766221937707	3.22666217214923
AC007405.6	1.67208140683688	1.38799505288778	1.38799505288778	1.38799505288778	1.38799505288778
AC009404.2	3.62654959663757	6.62854968173087	1.87251738598348	6.77721134609462	8.68020205895226
AC009948.5	4.42604237165119	4.57426576486981	2.74139345123487	4.30375035215896	2.53500486040028
AC012358.8	1.94565111243655	1.34815525330888	1.23296431828603	2.40444389381102	3.43232023431219
AC016831.7	3.54425660322868	1.32290885043539	1.32290885043539	1.32290885043539	1.32290885043539
AC018816.3	2.00644210722711	2.9666301061243	1.14562550728349	2.60892564897911	3.80377078952892
AC019349.5	1.39499586744581	1.39499586744581	1.39499586744581	1.54563494040859	1.39499586744581
AC062029.1	1.04472306238355	4.40346560271348	3.38386668932585	3.66052071225451	3.77279638123368
AC069513.4	1.79871825504432	1.38152760854856	1.38152760854856	1.38152760854856	1.38152760854856
AC093323.3	2.51056444978402	3.25802868124503	5.22104888632906	3.24425622873696	4.58081528616459
AC093818.1	1.27421400081281	1.39325696980234	3.6141632201586	1.91924131530298	1.42419046129359
AC142528.1	1.39166383974418	1.39166383974418	1.60451100671766	1.39166383974418	1.39166383974418
ACAA1	56.0025566362995	42.0899488379827	66.3253725069368	76.9424771242333	40.5461651751324
ACAA2	58.1636089098397	71.7591999217734	53.2486720101132	40.7189274603942	71.9894984649044
ACAP1	67.5870362920811	57.5833371577713	51.5697162098419	131.619679730336	38.2699349087625
ACAP3	9.83249661115344	5.78499887956796	11.5930459952275	5.59812720604819	6.78499486079126
ACAT1	36.9359664500744	29.8241109284289	22.9602980209939	43.5087660071869	27.8737982203018
ACAT2	17.8232359600979	15.6683925216429	17.2335571317027	14.4365293910588	6.82228011821956
ACBD3	44.2779384502484	47.1241820045473	39.2353521513984	81.8560570789153	85.7977382965158
ACHE	2.09909830947771	3.43357465405272	1.5446337005206	11.3800140010948	9.65946548313802
ACKR3	18.3403557340703	45.9086979617741	17.3189151067475	11.1958901764382	17.764252490467
ACLY	56.7043763717638	54.2251947430023	34.3431814910871	73.7821350506219	50.5964718573613
ACO2	70.1849354035564	34.0453404355239	51.8365421899143	69.8871273228118	75.9225126413571
ACOT7	12.7446250251612	15.4819643481532	1.4901115723424	2.71076827844383	2.36877252622032
ACOX1	9.30135305599016	6.58653521155558	68.7910737902714	19.2020278716876	14.0538295955078
ACP1	109.924954218573	65.6394681941154	120.358071057048	124.863542977056	118.452813716166
ACP5	96.3703219229648	69.9822215122419	57.3882818250677	122.674884683616	88.2172345122915
ACSBG1	1.51119689209226	1.4962104880966	1.57792551812805	1.36863585785949	1.5293569918919
ACSL1	16.7275338703382	14.3926390249287	9.24097906822929	4.15637542688833	2.25132264026465
ACSL4	55.8640765528767	58.6358993301693	38.040819670029	42.8271653357729	41.5807172785388
ACSL5	10.617297860479	4.55120205711654	33.4069750466712	16.4869044743988	9.64304921010646
ACTA2	266.195568773022	193.56515555066	204.113687843242	337.609240707698	996.926627574686
ACTB	4671.19877547885	4305.33845391405	2906.7937164202	4950.86304634009	4694.67622071867
ACTG1	2413.96368060317	2214.33432813612	1841.27646126225	1784.99574545767	2199.49457073165
